"filename", "language", "TypeScript React", "JSON", "TypeScript", "JavaScript", "SCSS", "CSS", "Markdown", "HTML", "Log", "comment", "blank", "total"
"d:\Dev\fbe-on-web-react\src\exe\runtimes\TerminalRuntime.tsx", "TypeScript React", 76, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 83
"d:\Dev\fbe-on-web-react\src\exe\runtimes\index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Dev\fbe-on-web-react\src\exe\runtimes\types.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 3, 18
"d:\Dev\fbe-on-web-react\src\index.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 32
"d:\Dev\fbe-on-web-react\src\item\corners.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Dev\fbe-on-web-react\src\item\creator\base.tsx", "TypeScript React", 118, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 135
"d:\Dev\fbe-on-web-react\src\item\creator\calc.tsx", "TypeScript React", 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 36
"d:\Dev\fbe-on-web-react\src\item\creator\data.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 69
"d:\Dev\fbe-on-web-react\src\item\creator\doubleBranch.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 57
"d:\Dev\fbe-on-web-react\src\item\creator\flow.tsx", "TypeScript React", 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"d:\Dev\fbe-on-web-react\src\item\creator\for.tsx", "TypeScript React", 69, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 89
"d:\Dev\fbe-on-web-react\src\item\creator\index.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 42
"d:\Dev\fbe-on-web-react\src\item\creator\prepare.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 61
"d:\Dev\fbe-on-web-react\src\item\creator\process.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 37
"d:\Dev\fbe-on-web-react\src\item\creator\switchBranch.tsx", "TypeScript React", 44, 0, 0, 0, 0, 0, 0, 0, 0, 58, 8, 110
"d:\Dev\fbe-on-web-react\src\item\creator\terminal.tsx", "TypeScript React", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"d:\Dev\fbe-on-web-react\src\item\creator\while.tsx", "TypeScript React", 71, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 86
"d:\Dev\fbe-on-web-react\src\prac\AtomTest.tsx", "TypeScript React", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 38
"d:\Dev\fbe-on-web-react\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Dev\fbe-on-web-react\src\redux\actions.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 1, 7, 87
"d:\Dev\fbe-on-web-react\src\redux\reducers\app.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 14, 7, 88
"d:\Dev\fbe-on-web-react\src\redux\reducers\edits.ts", "TypeScript", 0, 0, 116, 0, 0, 0, 0, 0, 0, 2, 6, 124
"d:\Dev\fbe-on-web-react\src\redux\reducers\exes.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 4, 48
"d:\Dev\fbe-on-web-react\src\redux\reducers\items.ts", "TypeScript", 0, 0, 163, 0, 0, 0, 0, 0, 0, 8, 11, 182
"d:\Dev\fbe-on-web-react\src\redux\reducers\mode.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 5, 33
"d:\Dev\fbe-on-web-react\src\redux\reducers\selectItem.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 10, 13, 110
"d:\Dev\fbe-on-web-react\src\redux\reducers\top.ts", "TypeScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 4, 5, 131
"d:\Dev\fbe-on-web-react\src\redux\store.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 6, 39
"d:\Dev\fbe-on-web-react\src\redux\types\action.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Dev\fbe-on-web-react\src\redux\types\item.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\Dev\fbe-on-web-react\src\redux\types\top.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Dev\fbe-on-web-react\src\reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Dev\fbe-on-web-react\src\setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\Dev\fbe-on-web-react\src\test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dev\fbe-on-web-react\src\util\declutter.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\Dev\fbe-on-web-react\src\util\formulaEval.ts", "TypeScript", 0, 0, 327, 0, 0, 0, 0, 0, 0, 56, 5, 388
"d:\Dev\fbe-on-web-react\src\util\functions.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 15, 50
"d:\Dev\fbe-on-web-react\src\util\hooks.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 55
"d:\Dev\fbe-on-web-react\src\util\html2Image.tsx", "TypeScript React", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 71
"d:\Dev\fbe-on-web-react\src\util\io.tsx", "TypeScript React", 204, 0, 0, 0, 0, 0, 0, 0, 0, 34, 12, 250
"d:\Dev\fbe-on-web-react\src\util\syms.tsx", "TypeScript React", 80, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 97
"d:\Dev\fbe-on-web-react\tsconfig.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 4, 34
"d:\Dev\fbe-on-web-react\yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 10902, 0, 1615, 12517
"Total", "-", 3619, 35103, 1214, 0, 13, 14, 9, 20, 10902, 606, 2132, 53632
