Date : 2021-11-18 20:50:44
Directory : d:\Dev\fbe-on-web-react
Total : 84 files,  50894 codes, 606 comments, 2132 blanks, all 53632 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Dev\fbe-on-web-react\src\exe\runtimes\Runtime.tsx           | TypeScript React |        309 |         24 |         14 |        347 |
| d:\Dev\fbe-on-web-react\src\exe\runtimes\TableRuntime.tsx      | TypeScript React |         94 |          0 |          7 |        101 |
| d:\Dev\fbe-on-web-react\src\exe\runtimes\TerminalRuntime.tsx   | TypeScript React |         76 |          3 |          4 |         83 |
| d:\Dev\fbe-on-web-react\src\exe\runtimes\index.ts              | TypeScript       |          9 |          0 |          4 |         13 |
| d:\Dev\fbe-on-web-react\src\exe\runtimes\types.ts              | TypeScript       |         14 |          1 |          3 |         18 |
| d:\Dev\fbe-on-web-react\src\index.tsx                          | TypeScript React |         13 |         10 |          9 |         32 |
| d:\Dev\fbe-on-web-react\src\item\corners.tsx                   | TypeScript React |         12 |          0 |          2 |         14 |
| d:\Dev\fbe-on-web-react\src\item\creator\base.tsx              | TypeScript React |        118 |         11 |          6 |        135 |
| d:\Dev\fbe-on-web-react\src\item\creator\calc.tsx              | TypeScript React |         31 |          2 |          3 |         36 |
| d:\Dev\fbe-on-web-react\src\item\creator\data.tsx              | TypeScript React |         58 |          5 |          6 |         69 |
| d:\Dev\fbe-on-web-react\src\item\creator\doubleBranch.tsx      | TypeScript React |         49 |          4 |          4 |         57 |
| d:\Dev\fbe-on-web-react\src\item\creator\flow.tsx              | TypeScript React |         30 |          1 |          3 |         34 |
| d:\Dev\fbe-on-web-react\src\item\creator\for.tsx               | TypeScript React |         69 |         10 |         10 |         89 |
| d:\Dev\fbe-on-web-react\src\item\creator\index.tsx             | TypeScript React |         32 |          1 |          9 |         42 |
| d:\Dev\fbe-on-web-react\src\item\creator\prepare.tsx           | TypeScript React |         49 |          6 |          6 |         61 |
| d:\Dev\fbe-on-web-react\src\item\creator\process.tsx           | TypeScript React |         29 |          2 |          6 |         37 |
| d:\Dev\fbe-on-web-react\src\item\creator\switchBranch.tsx      | TypeScript React |         44 |         58 |          8 |        110 |
| d:\Dev\fbe-on-web-react\src\item\creator\terminal.tsx          | TypeScript React |         16 |          3 |          4 |         23 |
| d:\Dev\fbe-on-web-react\src\item\creator\while.tsx             | TypeScript React |         71 |          9 |          6 |         86 |
| d:\Dev\fbe-on-web-react\src\prac\AtomTest.tsx                  | TypeScript React |         27 |          0 |         11 |         38 |
| d:\Dev\fbe-on-web-react\src\react-app-env.d.ts                 | TypeScript       |          0 |          1 |          1 |          2 |
| d:\Dev\fbe-on-web-react\src\redux\actions.ts                   | TypeScript       |         79 |          1 |          7 |         87 |
| d:\Dev\fbe-on-web-react\src\redux\reducers\app.ts              | TypeScript       |         67 |         14 |          7 |         88 |
| d:\Dev\fbe-on-web-react\src\redux\reducers\edits.ts            | TypeScript       |        116 |          2 |          6 |        124 |
| d:\Dev\fbe-on-web-react\src\redux\reducers\exes.ts             | TypeScript       |         42 |          2 |          4 |         48 |
| d:\Dev\fbe-on-web-react\src\redux\reducers\items.ts            | TypeScript       |        163 |          8 |         11 |        182 |
| d:\Dev\fbe-on-web-react\src\redux\reducers\mode.ts             | TypeScript       |         26 |          2 |          5 |         33 |
| d:\Dev\fbe-on-web-react\src\redux\reducers\selectItem.ts       | TypeScript       |         87 |         10 |         13 |        110 |
| d:\Dev\fbe-on-web-react\src\redux\reducers\top.ts              | TypeScript       |        122 |          4 |          5 |        131 |
| d:\Dev\fbe-on-web-react\src\redux\store.ts                     | TypeScript       |         32 |          1 |          6 |         39 |
| d:\Dev\fbe-on-web-react\src\redux\types\action.ts              | TypeScript       |          4 |          0 |          2 |          6 |
| d:\Dev\fbe-on-web-react\src\redux\types\item.ts                | TypeScript       |         22 |          0 |          5 |         27 |
| d:\Dev\fbe-on-web-react\src\redux\types\top.ts                 | TypeScript       |          6 |          0 |          3 |          9 |
| d:\Dev\fbe-on-web-react\src\reportWebVitals.ts                 | TypeScript       |         13 |          0 |          3 |         16 |
| d:\Dev\fbe-on-web-react\src\setupTests.ts                      | TypeScript       |          1 |          4 |          1 |          6 |
| d:\Dev\fbe-on-web-react\src\test.js                            | JavaScript       |          0 |          0 |          1 |          1 |
| d:\Dev\fbe-on-web-react\src\util\declutter.ts                  | TypeScript       |          3 |          0 |          3 |          6 |
| d:\Dev\fbe-on-web-react\src\util\formulaEval.ts                | TypeScript       |        327 |         56 |          5 |        388 |
| d:\Dev\fbe-on-web-react\src\util\functions.ts                  | TypeScript       |         34 |          1 |         15 |         50 |
| d:\Dev\fbe-on-web-react\src\util\hooks.tsx                     | TypeScript React |         32 |         14 |          9 |         55 |
| d:\Dev\fbe-on-web-react\src\util\html2Image.tsx                | TypeScript React |         60 |          0 |         11 |         71 |
| d:\Dev\fbe-on-web-react\src\util\io.tsx                        | TypeScript React |        204 |         34 |         12 |        250 |
| d:\Dev\fbe-on-web-react\src\util\syms.tsx                      | TypeScript React |         80 |          5 |         12 |         97 |
| d:\Dev\fbe-on-web-react\tsconfig.json                          | JSON             |         27 |          3 |          4 |         34 |
| d:\Dev\fbe-on-web-react\yarn-error.log                         | Log              |     10,902 |          0 |      1,615 |     12,517 |
| Total                                                          |                  |     50,894 |        606 |      2,132 |     53,632 |
+----------------------------------------------------------------+------------------+------------+------------+------------+------------+
