"filename", "language", "TypeScript", "TypeScript React", "JSON", "Log", "Shell Script", "HTML", "comment", "blank", "total"
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/switch/execute.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/items/terminalEnd/execute.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, 0, -1
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/constants.tsx", "TypeScript React", 0, 1, 0, 0, 0, 0, 1, 0, 2
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/error.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 5, 23
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/fbeToProgram.ts", "TypeScript", -20, 0, 0, 0, 0, 0, 1, 0, -19
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/notImplement.tsx", "TypeScript React", 0, -6, 0, 0, 0, 0, 0, -2, -8
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/typechecker.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/lib/useScrollIntoView.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 3, 13
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/actions.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/hooks.ts", "TypeScript", 193, 0, 0, 0, 0, 0, 0, 12, 205
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/lib.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/operations.ts", "TypeScript", -94, 0, 0, 0, 0, 0, 0, -11, -105
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/reducers.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 2, 1, 28
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/app/selectors.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/items/actions.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/items/hooks.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 13, 96
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/items/operations.ts", "TypeScript", -71, 0, 0, 0, 0, 0, 0, -14, -85
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/items/reducers.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/meta/hooks.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/meta/operations.ts", "TypeScript", -32, 0, 0, 0, 0, 0, 0, -3, -35
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/root/hooks.tsx", "TypeScript React", 0, 6, 0, 0, 0, 0, 0, 3, 9
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/redux/store.ts", "TypeScript", -9, 0, 0, 0, 0, 0, 0, -4, -13
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/src/style/media.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/test.log", "Log", 0, 0, 0, -99, 0, 0, 0, -24, -123
"/Users/tsubasa/Desktop/dev/fbe/fbe-core/web/yarn-error.log", "Log", 0, 0, 0, 8280, 0, 0, 0, 1240, 9520
"Total", "-", 376, 751, 8, 8181, 12, -3, -179, 1282, 10428
