"filename", "language", "JSON", "TypeScript React", "TypeScript", "SCSS", "CSS", "Log", "Markdown", "HTML", "comment", "blank", "total"
"d:\Dev\fbe-on-web-react\src\redux\types\item.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Dev\fbe-on-web-react\src\reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Dev\fbe-on-web-react\src\setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"d:\Dev\fbe-on-web-react\src\util\formulaEval.ts", "TypeScript", 0, 0, 270, 0, 0, 0, 0, 0, 22, 9, 301
"d:\Dev\fbe-on-web-react\src\util\functions.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 29
"d:\Dev\fbe-on-web-react\src\util\hooks.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 0, 16, 31
"d:\Dev\fbe-on-web-react\src\util\itemCreator.tsx", "TypeScript React", 0, 346, 0, 0, 0, 0, 0, 0, 20, 35, 401
"d:\Dev\fbe-on-web-react\src\util\syms.tsx", "TypeScript React", 0, 45, 0, 0, 0, 0, 0, 0, 1, 10, 56
"d:\Dev\fbe-on-web-react\tsconfig.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 3, 4, 34
"d:\Dev\fbe-on-web-react\yarn-error.log", "Log", 0, 0, 0, 0, 0, 10844, 0, 0, 0, 1589, 12433
"Total", "-", 35217, 1602, 948, 13, 14, 10844, 26, 20, 234, 1950, 50868
